room_types,room_price,room_number
로즈마리,100000,50000
베고니아,110000,50000
아이리스,110000,50000
쟈스민,110000,50000
크로바,110000,50000
라벤더,120000,50000
데이지,180000,50000
프리지아,180000,50000
 , ,50001
 , ,50002
1호실,80000,50006
2호실,80000,50006
3호실,120000,50006
4호실,130000,50006
5호실,160000,50006
6호실,160000,50006
7호실,200000,50006
201호,70000,50007
202호,70000,50007
203호,70000,50007
204호,70000,50007
205호,100000,50007
206호,100000,50007
302호,150000,50007
가동 2호,200000,50008
가동 4호,200000,50008
가동 6호,200000,50008
나동 1호,200000,50008
나동 3호,200000,50008
가동 1호,250000,50008
가동 3호,250000,50008
가동 5호,350000,50008
 , ,50009
8평형,80000,50101
11평형,100000,50101
104,,50102
102,80000,50102
103,80000,50102
105,80000,50102
201,80000,50102
202,80000,50102
203,80000,50102
205,80000,50102
302,80000,50102
301,180000,50102
303,180000,50102
 , ,50103
커플B형,120000,50104
커플B형,120000,50104
커플B형,120000,50104
커플B형,120000,50104
커플B형,120000,50104
커플B형,120000,50104
커플A형1호,140000,50104
커플A형2호,140000,50104
커플A형3호,140000,50104
커플A형4호,140000,50104
커플특실3호,180000,50104
18평형,190000,50104
18평형,190000,50104
28평형,280000,50104
28평형,280000,50104
28평형,280000,50104
32평형,320000,50104
32평형,320000,50104
32평형,320000,50104
50평형,500000,50104
글램핑3(온돌방),139000,50105
글램핑5,139000,50105
글램핑6,139000,50105
글램핑7,139000,50105
글램핑8,139000,50105
글램핑9,139000,50105
편백나무펜션글램핑,189000,50105
독채민박,300000,50105
단체방,300000,50105
 , ,50106
체크인 시 배정,108000,50108
디럭스 트윈,113000,50108
디럭스 더블,113000,50108
쥬니어 스위트,119000,50108
슈페리어 더블,188000,50108
스탠다드 싱글,60000,50109
스탠다드 더블,65000,50109
스탠다드 트윈,65000,50109
스카이 스탠다드 더블,70000,50109
스카이 스탠다드 트윈,70000,50109
[메리뉴이어 2021 패키지] 스탠다드 더블 (일출뷰 객실),88000,50109
[메리뉴이어 2021 패키지] 스탠다드 트윈 (일출뷰 객실),88000,50109
주니어 스위트,120000,50109
[러브 앤 해피 패키지] 주니어 스위트,135000,50109
스위트,150000,50109
[러브 앤 해피 패키지] 스위트,165000,50109
 , ,50111
독채(132㎡),200000,50112
 , ,50115
2인 침대방,80000,50119
카라반 25,,50120
B202호(공동실내수영장),,50121
C102호(실내수영장),,50121
C202호(공동실내수영장),220000,50121
 , ,50124
글램핑펜션1,,50125
솔롱고글램핑1,129000,50125
솔롱고글램핑2,129000,50125
솔롱고글램핑3,129000,50125
솔롱고글램핑4,129000,50125
솔롱고글램핑5,129000,50125
글램핑펜션2,129000,50125
글램핑펜션3,129000,50125
글램핑펜션4,129000,50125
글램핑펜션5,129000,50125
글램핑펜션7,129000,50125
솔롱고글램핑6,129000,50125
독채,350000,50125
 , ,50126
마카롱,,50127
 , ,50128
 , ,50129
금강,150000,50131
소백,150000,50131
청계,150000,50131
태백,150000,50131
한라,150000,50131
능강,240000,50131
송계,240000,50131
카라반5,,50135
카라반9,,50135
수로존글램핑1,150000,50135
수로존글램핑10,150000,50135
수로존글램핑11,150000,50135
수로존글램핑2,150000,50135
수로존글램핑3,150000,50135
수로존글램핑4,150000,50135
수로존글램핑5,150000,50135
수로존글램핑6,150000,50135
수로존글램핑7,150000,50135
수로존글램핑8,150000,50135
수로존글램핑9,150000,50135
카라반1,180000,50135
카라반10,180000,50135
카라반2,180000,50135
카라반3,180000,50135
카라반4,180000,50135
카라반8,180000,50135
카라반6,200000,50135
카라반7,200000,50135
미니(no PC),15000,50136
스타일(일반 노하드-옵치/넷플릭스),18000,50136
커플PC방(고급 노하드-배그/넷플릭스),20000,50136
온돌,18000,50136
특실 (넷플릭스),23000,50136
특실(커플PC/고급 노하드-배그/넷플릭스),25000,50136
스탠다드 (페이백),50000,50138
스탠다드,25000,50138
디럭스 A type(단독주차),33800,50138
디럭스 B type(단독주차),36000,50138
오전 무한대실(7시간),45000,50138
1인 출장 스탠다드(1인추가 만원),20000,50138
프리미엄 트윈(단독주차),55000,50138
슈페리어,30000,50138
스탠다드,20000,50139
디럭스,25000,50139
트윈,25000,50139
프리미엄1,30000,50139
프리미엄2,35000,50139
온돌,35000,50139
스탠다드 (페이백),,50139
연화 101호,,50141
 , ,50143
G101,49000,50145
A201,56000,50145
C101,70000,50145
A101,77000,50145
B101,77000,50145
일반,20000,50146
준특실,25000,50146
특실,30000,50146
VIP,40000,50146
 , ,50147
리플리히,86000,50149
스피나토,110000,50149
델리카토,170000,50149
아니마토,180000,50149
"바스룸(입욕제,쑥입욕제)",20000,50152
버블버블룸(고급입욕제),25000,50152
트윈베드룸,25000,50152
TV다시보기룸(넷플릭스),25000,50152
안마힐링룸(안마의자+입욕제),25000,50152
디럭스(트윈)[조식제공],30000,50153
프리미엄[조식제공],30000,50153
프리미엄(배틀그라운드&스파),35000,50153
스위트[조식제공],35000,50153
스탠다드[조식제공] ,20000,50153
디럭스[조식제공],25000,50153
스위트(노래방&스크린영화)[조식제공],45000,50153
 , ,50158
데이지,100000,50160
진달래,100000,50160
장미,130000,50160
튤립,130000,50160
채송화,160000,50160
국화,180000,50160
일반,20000,50161
트윈특실,30000,50161
